case_id,case_name,case_alias,tech_id,tech_name,case_description,obs_terminal
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Presence of Anomalous Vehicle,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Presence of Anomalous Vehicle: Near Operational Site,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee: Containing Transient Cyber Assets,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,"Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee: Containing Transient Cyber Assets: Protective Distribution System (PDS) Compact 500, Motorola M120 Two-Way Radio, Laptop, Cable Media, and Transformer",TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Missing Operational Technology (OT) Asset,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Missing Operational Technology (OT) Asset: Motorola M120 Two-Way Radio,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Missing Operational Technology (OT) Asset: Spare Remote Terminal Unit (RTU),FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Missing Operational Technology (OT) Asset: Spare Remote Terminal Unit (RTU): Protective Distribution System (PDS) Compact 500,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Anomalous System Behavior on Local Host,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio: Property of Integrator,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio: Property of Integrator: Hunter Watertech,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Anomalous System Behavior on Local Host: Anomalous Configuration Changes to Industrial Control System (ICS) Device,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Anomalous System Behavior on Local Host: Anomalous Configuration Changes to Industrial Control System (ICS) Device: Remote Terminal Unit (RTU),FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Anomalous System Behavior on Local Host: Anomalous Configuration Changes to Industrial Control System (ICS) Device: Remote Terminal Unit (RTU): Protective Distribution System (PDS) Compact 500,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Presence of Anomalous Vehicle,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Presence of Anomalous Vehicle: Near Operational Site,FALSE
