id,STIX ID,name,description,url,created,last modified,matrix,version,platforms,sectors,related assets,related assets sectors,related assets description,relationship citations
A0008,x-mitre-asset--973bc51e-c41e-4cec-ac03-9389c71f3d0d,Application Server,"Application servers are used across many different sectors to host various diverse software applications necessary to supporting the ICS. Example functions can include data analytics and reporting, alarm management, and the management/coordination of different control servers.  The application server typically runs on a modern server operating system (e.g., MS Windows Server).",https://attack.mitre.org/assets/A0008,28 September 2023,04 October 2023,ics,1.0,"Linux, Windows",General,,,,
A0007,x-mitre-asset--ecb81a8b-022e-4529-a404-55cffca7d3a3,Control Server,"Control servers are typically a software platform that runs on a modern server operating system (e.g., MS Windows Server). The server typically uses one or more automation protocols (e.g., Modbus, DNP3) to communicate with the various low-level control devices such as Remote Terminal Units (RTUs) and Programmable Logic Controllers (PLCs). The control server also usually provides an interface/network service to connect with an HMI.",https://attack.mitre.org/assets/A0007,28 September 2023,04 October 2023,ics,1.0,"Linux, Windows",General,Supervisory Control And Data Acquisition (SCADA) Server; Master Terminal Unit (MTU); Supervisory controller; Distribution/Energy Management System (DMS/EMS),"Electric, General, Water and Wastewater; General; General; Electric","A SCADA server is used to perform monitoring and control across a distributed environment. It typically has an associated HMI to provide information to a human operator and heavily depends on the human operator to initiate control actions.; *A controller that also acts as a server that hosts the control software that communicates with lower-level control devices, such as remote terminal units (RTUs) and programmable logic controllers (PLCs), over an ICS network* (Citation: Guidance - NIST SP800-82); *A controller that also acts as a server that hosts the control software that communicates with lower-level control devices, such as remote terminal units (RTUs) and programmable logic controllers (PLCs), over an ICS network* (Citation: Guidance - NIST SP800-82); A DMS and EMS are electric sector specific devices that are commonly used to manage distribution and transmission-level electrical grids. These platforms typically integrate a SCADA server and HMI with domain-specific data analysis applications, such as state-estimation and contingency analysis (EMS), or voltage-var control or fault restoration (DMS). ",
A0009,x-mitre-asset--68388d4f-8138-420b-be2b-5a7dfe9ff6b4,Data Gateway,"Data Gateway is a device that supports the communication and exchange of data between different systems, networks, or protocols within the ICS. Different types of data gateways are used to perform various functions, including:

 *  <u>Protocol Translation:</u> Enable communication to devices that support different or incompatible protocols by translating information from one protocol to another. 
 *  <u>Media Converter:</u> Convert data across different Layer 1 and 2 network protocols / mediums, for example, converting from Serial to Ethernet. 
 *  <u>Data Aggregation:</u> Collect and combine data from different devices into one consistent format and protocol interface. 

Data gateways are often critical to the forwarding/transmission of critical control or monitoring data within the ICS. Further, these devices often have remote various network services that are used to communicate across different zones or networks.  

These assets may focus on a single function listed below or combinations of these functions to best fit the industry use-case. 
",https://attack.mitre.org/assets/A0009,28 September 2023,04 October 2023,ics,1.0,"Embedded, Linux, Windows",General,Data Acquisition Server (DAS); Serial to Ethernet Gateway,"General; Electric, General","A Data Acquisition Server (DAS) a system or software platform that is used to collect, aggregate, and store data/telemetry from field devices using various SCADA/Automation protocols. ; A Serial to Ethernet gateway is a device that is used to connect field devices that only support serial-based communication (e.g., RS-232) with more modern Ethernet-based networks. ",
A0006,x-mitre-asset--e2c3336a-dd93-44d6-8246-f93cf132c499,Data Historian,"Data historians, or historian, are systems used to collect and store data, including telemetry, events, alerts, and alarms about the operational process and supporting devices. The historian typically utilizes a database to store this data, and commonly provide tools and interfaces to support the analysis of the data. Data historians are often used to support various engineering or business analysis functions and therefore commonly needs access from the corporate network. Data historians often work in a hierarchical paradigm where lower/site level historians collect and store data which is then aggregated into a site/plant level historian. Therefore, data historians often have remote services that can be accessed externally from the ICS network.",https://attack.mitre.org/assets/A0006,28 September 2023,04 October 2023,ics,1.0,"Embedded, Linux, Windows",General,Telemetry Database,,,
A0013,x-mitre-asset--2b676abd-8263-49ea-81a4-78a7e1f776fe,Field I/O,"Field I/O are devices that communicate with a controller or data aggregator to either send input data or receive output data. Input data may include readings about a given environment/device state from sensors, while output data may include data sent back to actuators for them to either undertake actions or change parameter values.(Citation: Guidance - NIST SP800-82) These devices are frequently embedded devices running on lightweight embedded operating systems or RTOSes. ",https://attack.mitre.org/assets/A0013,28 September 2023,04 October 2023,ics,1.0,Embedded,General,Smart Sensors; Variable Frequency Drive (VFD),General; General,"*A device that procures a voltage or current output that is representative of some physical property being measured (e.g., speed, temperature, flow).* (Citation: Guidance - NIST SP800-82) Smart sensors take this functionality and add on on-device processing and network communication.; *A type of drive that controls the speed, but not the precise position, of a non-servo, AC motor by varying the frequency of the electricity going to that motor. VFDs are typically used for applications where speed and power are important, but precise positioning is not.* (Citation: Guidance - NIST SP800-82) VFDs can be network connected.",
A0002,x-mitre-asset--3a95f7e4-4877-4967-b2e8-e287976c3e64,Human-Machine Interface (HMI),"Human-Machine Interfaces (HMIs) are systems used by an operator to monitor the real-time status of an operational process and to perform necessary control functions, including the adjustment of device parameters. An HMI can take various forms, including a dedicated screen or control panel integrated with a specific device/controller, or a customizable software GUI application running on a standard operating system (e.g., MS Windows) that interfaces with a control/SCADA server. The HMI is critical to ensuring operators have sufficient visibility and control over the operational process.",https://attack.mitre.org/assets/A0002,28 September 2023,04 October 2023,ics,1.0,"Linux, Windows",General,Operator Workstation (OWS),General,"An Operator Workstation (OWS) or Console is a system or device used by an operator to interface with a control system, including to access/visualizes key information or parameters about the operational process and initiate control actions. This typically consists of specialized OWS software installed on a Workstation platform. (Citation: IEC February 2019)",
A0005,x-mitre-asset--75f810ad-b678-4c57-b93b-fdc79bba0c04,Intelligent Electronic Device (IED),"An Intelligent Electronic Device (IED) is a type of specialized field device that is designed to perform specific operational functions, frequently for protection, monitoring, or control within the electric sector. IEDs are typically used to both acquire telemetry and execute tailored control algorithms/actions based on customizable parameters/settings. An IED is usually implemented as a dedicated embedded device and supports various network automation protocols to communicate with RTUs and Control Servers.",https://attack.mitre.org/assets/A0005,28 September 2023,04 October 2023,ics,1.0,Embedded,Electric,Protection Relay; Field Device / Controller,Electric; ,"A protection relay is a type of IED used within the electric sector to monitor for faults or problematic operating conditions on power lines, busses, or transformers. While traditionally protection relays were electromechanical or electromagnetic devices, modern relays utilize microprocessors, embedded operating system, and SCADA communications.; IEDs may be referred to as Field Controllers or Field Devices as a general function name. ",
A0012,x-mitre-asset--14932ed5-1098-4cc1-9f57-159ab7366787,Jump Host,"Jump hosts are devices used to support remote management sessions into ICS networks or devices. The system is used to access the ICS environment securely from external networks, such as the corporate network. The user must first remote into the jump host before they can access ICS devices. The jump host may be a customized Windows server using common remote access protocols (e.g., RDP) or a dedicated access management device. The jump host typically performs various security functions to ensure the authenticity of remote sessions, including authentication, enforcing access controls/permissions, and auditing all access attempts.  ",https://attack.mitre.org/assets/A0012,28 September 2023,04 October 2023,ics,1.0,"Embedded, Linux, Windows",General,Intermediate System,Electric,A Cyber Asset or collection of Cyber Assets performing access control to restrict Interactive Remote Access to only authorized users.(Citation: North American Electric Reliability Corporation June 2021),
A0003,x-mitre-asset--986c455b-0f43-42b6-8360-33ac48bd9990,Programmable Logic Controller (PLC),"A Programmable Logic Controller (PLC) is an embedded programmable control device. PLCs typically utilize a modular architecture with separate modules used to support its processing capabilities, communication mediums, and I/O interfaces. PLCs allow for the deployment of customized programs/logic to control or monitor an operational process. This logic is defined using industry specific programming languages, such as IEC 61131 (Citation: IEC February 2013), which define the set of tasks and program organizational units (POUs) included in the device’s programs.  PLCs also typically have distinct operating modes (e.g., Remote, Run, Program, Stop) which are used to determine when the device can be programmed or whether it should execute the custom logic.",https://attack.mitre.org/assets/A0003,28 September 2023,04 October 2023,ics,1.0,Embedded,General,Process Automation Controller  (PAC); Field Device / Controller,General; ,"Process Automation Controllers (PAC) share much of the same functionality as a PLC. PACs may include advanced features for process control, motion control, drive control, and vision applications. PACs may include additional features such as options to program in traditional programming languages such as C and C++ in addition to 61131 programming languages in order to support these more advanced controls.  ; Programmable Logic Controller (PLC) may be referred to as Field Controllers or Field Devices as a general function name.   ",
A0004,x-mitre-asset--1769c499-55e5-462f-bab2-c39b8cd5ae32,Remote Terminal Unit (RTU),"A Remote Terminal Unit (RTU) is a device that typically resides between field devices (e.g., PLCs, IEDs) and control/SCADA servers and supports various communication interfacing and data aggregation functions. RTUs are typically responsible for forwarding commands from the control server and the collection of telemetry, events, and alerts from the field devices. An RTU can be implemented as a dedicated embedded device, as software platform that runs on a hardened/ruggedized computer, or using a custom application program on a PLC.",https://attack.mitre.org/assets/A0004,28 September 2023,04 October 2023,ics,1.0,"Embedded, Linux, Windows","Electric, General, Water and Wastewater",,,,
